Zipcode,Provider Name,STAR Rating,Address,Phone Number,County,Provider Type,Provider Status,Capacity,CCAP Subsidy,Accreditation,Food Permit,Transportation
41749,Mountain View Head Start,4,170 Bear Trail Hyden KY,606-672-1637,Leslie,Licensed,Approved,60,No,NaN,Yes,Yes
41749,WB Muncy Head Start,3,142 Pirate Drive Wooton KY,606-279-3762,Leslie,Licensed,Approved,20,No,NaN,No,Yes
41749,Creative Minds Learning Center,3,23211 Hwy 421 Hyden KY,606-672-6000,Leslie,Licensed,Approved,40,Accepted,NaN,No,No
41749,Leslie Early Head Start,1,22728 Hwy 421 Apt. 34 Hyden KY,606-672-3990,Leslie,Licensed,Approved,30,NaN,NaN,Yes,No
40868,Stinnet Head Start,3,12975 Hwy 421 Stinnett KY,606-374-7710,Leslie,Licensed,Approved,40,No,NaN,Yes,Yes
41777,Hayes Lewis Head Start,4,10130 Cutshin Road Yeaddis KY,606-279-3843,Leslie,Licensed,Approved,30,No,NaN,Yes,Yes
41314,Owsley County Early Head Start/Head Start,3,122 Baker Lane Booneville KY,606-593-5101,Owsley,Licensed Type 1,Approved,173,Accepted,NaN,Yes,Yes
41311,Lee County Head Start,5,49 Bull Mountain Rd Beattyville KY,606-464-3329,Lee,Licensed,Approved,99,Accepted,NaN,Yes,Yes
41311,Tiddle Town Day Care,2,95 Jackson Lane Beattyville KY,606-464-8696,Lee,Licensed,Approved,49,Accepted,No,Yes,No
41311,"Beattyville Early Childhood Center, Inc.",2,74 Circle Street Beattyville KY,606-464-3093,Lee,Licensed,Approved,35,Accepted,No,Yes,No
41339,Miller II & Miller III Head Start,5,51 Brewer Drive Jackson KY,606-666-8585,Breathitt,Licensed,Approved,27,Accepted,NaN,Yes,Yes
41339,Branson Head Start Center,5,419 Court Street Jackson KY,606-666-4236,Breathitt,Licensed,Approved,20,Accepted,NaN,Yes,Yes
41339,Little Learners Inc. of Jackson,2,1267 Main Street Jackson KY,6062726079,Breathitt,Licensed,Approved,49,Accepted,NaN,No,No
41339,Mount Carmel Preschool,1,75 Mill Creek Lawson Rd Jackson HY,606-272-6116,Breathitt,Licensed,Approved,26,Accepted,NaN,Yes,No
41719,Tiny Tots Learning Spot,1,17 Care A Lot Lane Bonnyman KY,606-435-0437,Perry,Licensed,Approved,54,Accepted,NaN,No,No
41701,Perry County Head Start & Early Head Start Center,4,145 Citizens Lane Hazard KY,606-435-1888,Perry,Licensed,Approved,128,No,NaN,No,Yes
41701,Childrens House Montessori,3,135 Memorial Drive Hazard KY,606-436-0567,Perry,Licensed,Approved,110,Accepted,NaN,Yes,No
41701,Michael's Child Care,2,200 Kentucky Blvd Hazard KY,606-439-2628,Perry,Certified Family Child Care,Approved,6,Accepted,No,NaN,No
41701,Learn and Play Childcare Center,2,51 East Main Street Hazard KY,606-436-9812,Perry,Licensed,Approved,50,Accepted,NaN,Yes,No
41701,Hazard Preschool Plus,1,601 Broadway Hazard KY,606-439-5076,Perry,Licensed,Approved,17,Accepted,No,Yes,Yes
41701,New Beginnings Learning Center,1,151 Miss Edna Lane Hazard KY,606-439-0275,Perry,Licensed,Approved,141,Accepted,NaN,Yes,No
41701,Shawnee Baker,1,3012 Christopher Road Hazard KY,606-233-0468,Perry,Certified Family Child Care,Approved,6,Accepted,NaN,NaN,No
41804,Mountain Heritage Head Start,5,13315 Highway 588 Blackey KY,606-633-3376,Letcher,Licensed,Approved,60,No,NaN,Yes,Yes
41537,Jenkins Head Start,3,571 Dairy Hollow Jenkins KY,606-832-4012,Letcher,Licensed,Approved,75,No,No,Yes,Yes
41837,Mayking Head Start,3,15 Highway 3410 Mayking KY,606-633-5043,Letcher,Licensed,Approved,57,No,No,Yes,Yes
41837,Hillary Back,2,63 Blackberry Rd Mayking KY,606-262-7808,Letcher,Certified Family Child Care,Approved,6,Accepted,NaN,NaN,No
41837,Whitney Tyree,2,1236 HWY 3406 Mayking KY,606-634-6889,Letcher,Certified Family Child Care,Approved,6,NaN,NaN,NaN,No
41858,Cowan Head Start,4,81 Sturgill Branch Whitesburg KY,606-633-0718,Letcher,Licensed,Approved,29,No,NaN,Yes,Yes
41858,Oak Tree Academy Incorporated,2,52 Broadway Suite B Whitesburg KY,606-536-5015,Letcher,Licensed,Approved,24,Accepted,NaN,No,No
41844,June Buchanan School/Alice Lloyd College Development Center,Not participating in STARS program,100 Purpose Road Pippa Passes KY,606-368-6124,Knott,Licensed,Approved,37,Accepted,No,Yes,No
41862,Beaver Head Start,4,8000 Highway 7 South Topmost KY,606-447-2111,Knott,Licensed,Approved,28,No,NaN,Yes,Yes
41603,Wesley Christian Learning Center,3,103 Methodist Lane Allen KY,606-874-8328,Floyd,Licensed,Approved,73,Accepted,No,Yes,No
41622,Kiddie-Land Daycare Center,3,91 Bluegrass Hollow Eastern KY,606-358-0029,Floyd,Licensed,Approved,42,Accepted,No,Yes,No
41649,May Valley Early Childhood Center,4,481 Stephens Branch Road Martin KY,606-285-0883,Floyd,Licensed,Approved,20,Accepted,No,Yes,Yes
41653,Baptist Learning Center,4,157 South Front Street Prestonburg KY,606-886-8681,Floyd,Licensed,Approved,67,Accepted,No,Yes,No
41653,Bright Beginnings Child Care,4,3122 South Lake Drive Prestonburg KY,606-886-3121,Floyd,Licensed,Approved,60,Accepted,NaN,Yes,No
41653,Adventure Learning Center Child Care,3,1430 North Lake Drive Prestonburg KY,606-263-4052,Floyd,Licensed,Approved,49,Accepted,NaN,Yes,No
41653,Bright Beginnings Child Care 2,3,3140 Suite 2 Southlake Drive Prestonburg KY,606-886-3155,Floyd,Licensed,Approved,74,Accepted,NaN,No,No
41653,Prestonburg Elementary Family Resource Center,1,140 South Clark Road Prestonburg KY,606-886-7088,Floyd,Licensed,Approved,60,Accepted,No,Yes,No
41501,Model City Head Start,5,152 Bank Street Pikeville KY,606-432-7448,Pike,Licensed,Approved,73,No,NaN,Yes,Yes
41501,Pikeville Scholar House Early Childhood Education Center,3,127 Saad Avenue Pikeville KY,606-509-1099,Pike,Licensed,Approved,92,Accepted,NaN,Yes,No
41501,"Model City Day Care Center, Inc.",2,152 Bank Street Pikeville KY,606-432-5427,Pike,Licensed,Approved,326,Accepted,NaN,Yes,Yes
41501,YMCA/Pikeville Primetime Fun Club,1,424 Bob Amos Drive,606-437-0119,Pike,Licensed,Approved,76,Accepted,No,Yes,No
41559,The Upper Room Learning Center,1,10519 Regina Belcher Hwy Regina KY,606-794-7467,Pike,Licensed,Approved,35,Accepted,NaN,No,No
41560,Shelby Valley Day Care,3,95 Douglas Parkway Robinson Creek KY,606-639-6550,Pike,Licensed,Approved,60,Accepted,NaN,No,No
41503,Teachable Moments,1,507 Central Avenue South Williamson KY,606-237-1343,Pike,Licensed,Approved,55,Accepted,NaN,No,No
41240,Little Light Academy,4,821 Euclid Avenue Paintsville KY,606-789-6433,Johnson,Licensed,Approved,30,Accepted,NaN,No ,No
41240,Blessed Beginnings Child Care,3,1116 State Street Paintsville KY,606-264-4521,Johnson,Licensed,Approved,21,Accepted,NaN,Yes,No
41240,Our Lady of the Mountains Preschool,2,405 Third Street Paintsville KY,606-789-3661,Johnson,Licensed,Approved,64,Accepted,No,No,No
41240,Once Upon A Child Learning Center,2,824 Stafford Avenue Paintsville KY,606-789-9288,Johnson,Licensed,Approved,58,Accepted,NaN,No,No
41240,Bright Beginnings Childcare 3,1,607 Broadway Street Paintsville KY,606-422-0455,Johnson,Licensed,Approved,50,Accepted,NaN,No,No
41256,Highland Elementary After School Program,1,649 US 23 South Staffordsville KY,606-297-3674,Johnson,Licensed,Approved,70,Accepted,No,Yes,No
41260,Growing Together Childcare & Training Center,5,5659 Main Street Thelma KY,606-788-6639,Johnson,Licensed,Approved,40,No,No,Yes,No
41274,W. R. Castle After School Program,2,3936 US 23 North Wittensville KY,606-297-3738,Johnson,Licensed,Approved,44,Accepted,No,No,No
41274,JCCS Angel Care,1,150 Christian Way Wittensville KY,606-297-5566,Johnson,Licensed,Approved,83,Accepted,No,No,No
41465,Blessed Beginnings Child Care Inc,3,268 Lakeville Road Salyersville KY,606-349-5437,Magoffin,Licensed,Approved,46,Accepted,NaN,No,No
41301,Wolfe County Head Start Center,5,228 Community Park Road Campton KY,606-668-7879,Wolfe,Licensed,Approved,125,Accepted,NaN,Yes,Yes
41301,"Little Learners, Inc",2,850 Hwy 15 Campton KY,606-668-6069,Wolfe,Licensed,Approved,47,Accepted,NaN,Yes,No
41301,Bethany Christian Daycare,1,17 Bethany Circle Campton KY,606-668-6318,Wolfe,Licensed,Approved,29,Accepted,NaN,Yes,No
41472,Morgan Central Head Start,5,3201 Hwy 460 West West LIberty KY,800-927-1833,Morgan,Licensed,Approved,44,Accepted,No,Yes,Yes
41472,East Valley Head Start,5,7585 Ky 172 West Liberty KY,606-743-3133,Morgan,Licensed,Approved,22,Accepted,NaN,Yes,Yes
41472,Gateway Early Head Start Morgan County,5,450 Prestonburg Street West Liberty KY,800-927-1833,Morgan,Licensed,Approved,34,Accepted,NaN,Yes,No
41472,Pooh's Corner Daycare,3,4100 Highway 191 West Liberty KY,606-743-2172,Morgan,Certified Family Child Care,Approved,6,Accepted,No,NaN,No
41472,Baby's Day Inn Day Care,2,909 Prestonburg Street West Liberty KY,606-743-1751,Morgan,Licensed,Approved,49,Accepted,No,Yes,No
41472,Wrigley Head Start,1,7490 Ky 7 West Liberty KY,606-743-3133,Morgan,Licensed,Approved,40,Accepted,NaN,Yes,Yes
40316,Menifee County Head Start,4,6882 US-460 Denniston KY,800-927-1833,Menifee,Licensed,Approved,80,Accepted,NaN,Yes,Yes
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40360,,,,,Bath,,,,,,,
40360,,,,,Bath,,,,,,,
40360,,,,,Bath,,,,,,,
41041,,,,,Fleming,,,,,,,
41041,,,,,Fleming,,,,,,,
41041,,,,,Fleming,,,,,,,
41049,,,,,Fleming,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41064,,,,,Roberston,,,,,,,
41004,,,,,Bracken,,,,,,,
41004,,,,,Bracken,,,,,,,
41004,,,,,Bracken,,,,,,,
41002,,,,,Bracken,,,,,,,
41141,,,,,Lewis,,,,,,,
41189,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
41171,,,,,Elliott,,,,,,,
41171,,,,,Elliott,,,,,,,
41146,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41139,,,,,Greenup,,,,,,,
41144,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41175,,,,,Greenup,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41230,,,,,Lawrence,,,,,,,
41230,,,,,Lawrence,,,,,,,